Date,Open,High,Low,Close,Adj Close,Volume
2010-12-10,24.219999,24.285000,23.799999,24.200001,22.456223,190430
2010-12-13,24.160000,24.500000,24.160000,24.375000,22.618607,160800
2010-12-14,24.299999,24.559999,24.225000,24.495001,22.729967,135060
2010-12-15,24.385000,24.440001,23.900000,24.290001,22.539738,105970
2010-12-16,24.434999,24.459999,24.190001,24.410000,22.651091,81660
2010-12-17,24.400000,24.645000,24.400000,24.525000,22.757799,269920
2010-12-20,24.459999,24.934999,24.445000,24.754999,22.971230,188910
2010-12-21,24.959999,25.240000,24.469999,24.740000,22.957314,262800
2010-12-22,24.500000,24.750000,24.025000,24.290001,22.539738,319330
2010-12-23,24.320000,24.850000,24.309999,24.600000,22.827398,295730
2010-12-27,24.795000,24.799999,24.180000,24.355000,22.600052,60060
2010-12-28,24.280001,24.469999,24.129999,24.370001,22.613972,42960
2010-12-29,24.290001,24.485001,24.174999,24.450001,22.688204,65530
2010-12-30,24.875000,24.875000,23.900000,24.799999,23.012985,167600
2011-01-03,25.150000,25.549999,24.605000,24.655001,22.878439,171050
2011-01-04,24.594999,24.930000,23.879999,24.014999,22.284554,356610
2011-01-05,23.910000,24.105000,23.455000,23.950001,22.224239,210980
2011-01-06,23.875000,24.270000,23.735001,23.740000,22.029367,173980
2011-01-07,23.600000,23.850000,23.565001,23.639999,21.936573,147110
2011-01-10,23.110001,23.285000,22.799999,23.020000,21.361246,448530
2011-01-11,23.195000,23.299999,22.924999,23.115000,21.449406,438560
2011-01-12,23.240000,23.760000,23.180000,23.180000,21.509718,563300
2011-01-13,23.305000,23.575001,23.305000,23.475000,21.783461,409740
2011-01-14,23.440001,23.475000,23.100000,23.155001,21.486521,393940
2011-01-17,23.100000,23.230000,22.934999,23.045000,21.384449,118270
2011-01-18,23.184999,23.540001,23.184999,23.360001,21.676746,192330
2011-01-19,23.340000,23.410000,22.975000,23.084999,21.421562,289260
2011-01-20,22.900000,23.040001,22.100000,22.180000,20.581778,374270
2011-01-21,22.280001,22.455000,21.915001,22.325001,20.716330,313110
2011-01-24,22.299999,22.709999,22.235001,22.684999,21.050386,230290
2011-01-25,22.754999,22.799999,22.334999,22.559999,20.934395,400340
2011-01-26,22.485001,22.985001,22.485001,22.799999,21.157099,174840
2011-01-27,22.875000,22.975000,22.635000,22.705000,21.068947,188540
2011-01-28,22.635000,23.059999,22.580000,22.695000,21.059666,163170
2011-01-31,22.674999,23.100000,22.270000,22.840000,21.194218,289990
2011-02-01,22.885000,23.100000,22.555000,22.745001,21.106064,247110
2011-02-02,22.705000,22.915001,22.639999,22.910000,21.259174,206460
2011-02-03,22.855000,22.865000,22.410000,22.580000,20.952953,431660
2011-02-04,22.575001,22.799999,22.530001,22.590000,20.962233,342560
2011-02-07,22.635000,23.000000,22.600000,22.840000,21.194218,222980
2011-02-08,22.895000,22.965000,22.735001,22.860001,21.212780,461270
2011-02-09,22.875000,22.905001,22.549999,22.719999,21.082867,396540
2011-02-10,22.799999,22.905001,22.605000,22.745001,21.106064,314850
2011-02-11,22.610001,22.795000,22.100000,22.285000,20.679209,661570
2011-02-14,22.395000,22.559999,22.030001,22.030001,20.442585,776470
2011-02-15,22.049999,22.299999,21.375000,21.415001,19.871901,1072420
2011-02-16,21.594999,22.010000,21.105000,21.309999,19.774464,1052950
2011-02-17,21.299999,21.745001,21.205000,21.450001,19.904383,733020
2011-02-18,21.580000,21.620001,21.100000,21.400000,19.857981,607210
2011-02-21,21.440001,21.575001,21.150000,21.270000,19.737347,413860
2011-02-22,21.100000,21.520000,20.850000,21.420000,19.876539,694400
2011-02-23,21.420000,21.480000,20.750000,21.084999,19.565681,849240
2011-02-24,20.980000,21.115000,20.745001,20.959999,19.449686,331360
2011-02-25,21.090000,21.705000,21.010000,21.365000,19.825504,434290
2011-02-28,21.400000,21.715000,21.290001,21.549999,19.997171,582090
2011-03-01,21.700001,21.930000,21.440001,21.584999,20.029652,638060
2011-03-02,21.540001,21.635000,21.030001,21.540001,19.987894,496160
2011-03-03,21.580000,21.705000,21.355000,21.510000,19.960054,296150
2011-03-04,21.650000,21.830000,21.389999,21.415001,19.871901,340240
2011-03-07,21.480000,21.905001,21.420000,21.615000,20.057487,268780
2011-03-08,21.709999,21.840000,21.500000,21.840000,20.266279,359420
2011-03-09,21.809999,21.940001,21.680000,21.705000,20.141005,320520
2011-03-10,21.600000,21.730000,21.219999,21.475000,19.927578,472420
2011-03-11,21.350000,21.350000,20.879999,20.945000,19.435766,501410
2011-03-14,20.219999,21.045000,20.200001,20.719999,19.226978,615150
